description,LATITUDE,LONGITUDE
EnterprizePark,-37.82023907,144.9599104
BarbequeDocklands-notcategorised,-37.82198673,144.9472706
BrickSingleHotplate,-37.82178752,144.9572679
UrbanDesignSingleHotplate,-37.82997401,144.96516
UrbanDesignDoubleHotplate,-37.82778303,144.982953
BluestoneDoubleHotplate,-37.79903182,144.9434318
UrbanDesignSingleHotplate,-37.78854743,144.9262295
UrbanDesignDoubleHotplate-AlexandraPark,-37.82412642,144.9775265
UrbanDesignDoubleHotplate,-37.8272701,144.9811924
UrbanDesignSingleHotplate,-37.78697855,144.9529576
UrbanDesignDoubleHotplate,-37.79794614,144.9214202
UrbanDesignDoubleHotplate-WarunBiikPark,-37.79622324,144.9266474
UrbanDesignSingleHotplate,-37.79780444,144.9260951
UrbanDesignSingleHotplate,-37.77948642,144.9398602
UrbanDesignDoubleHotplate-AlexandraPark,-37.82462242,144.9779459
FawknerParkToddlerPlaySpace,-37.83916336,144.980667
UrbanDesignSingleHotplate,-37.82074203,144.962503
Unknownmodel-JJHollandPark,-37.79744246,144.9233707
BrickSingleHotplate,-37.79363713,144.9403181
UrbanDesignDoubleHotplate,-37.82768004,144.982417
UrbanDesignDoubleHotplate-RoyalPark,-37.78545233,144.946188
UrbanDesignDoubleHotplate,-37.80957101,144.9548589
UrbanDesignDoubleHotplateSpanningTwoUnits-AlexandraPark,-37.82426005,144.9776466
UrbanDesignDoubleHotplate,-37.78305874,144.9443604
BarbequeDocklands-notcategorised,-37.82306496,144.9418028
UrbanDesignDoubleHotplate,-37.84238715,144.9819082
UrbanDesignSingleHotplate,-37.7899872,144.9450234
UrbanDesignSingleHotplate,-37.81982134,144.9748017
UrbanDesignSingleHotplate-FawknerPark,-37.84077622,144.9839388
BrickSingleHotplate,-37.82177561,144.9572878
UnknownBarbequeType,-37.81889052,144.942755
UrbanDesignSingleHotplate,-37.78507621,144.962429
BarbequeDocklands-notcategorised,-37.82086901,144.9465319
UrbanDesignDoubleHotplate,-37.82736307,144.981438
UrbanDesignSingleHotplate,-37.79375199,144.9240406
UrbanDesignDoubleHotplate,-37.82753298,144.9819081
UrbanDesignDoubleHotplate,-37.78291659,144.9436255
UrbanDesignDoubleHotplate,-37.8274468,144.9816752
UrbanDesignSingleHotplate,-37.78200107,144.9566318
BarbequeDocklands-notcategorised,-37.8231028,144.941895
UrbanDesignSingleHotplate,-37.79557202,144.9307855
UrbanDesignSingleHotplate,-37.79782183,144.9260743
UrbanDesignSingleHotplate,-37.785039,144.9622264
UrbanDesignDoubleHotplate,-37.82045824,144.9449401
UrbanDesignDoubleHotplateSpanningTwoUnits-AlexandraPark,-37.82444423,144.9778024
UrbanDesignSingleHotplate,-37.82009382,144.9751031
UrbanDesignSingleHotplate,-37.82964804,144.964966
UrbanDesignSingleHotplate,-37.78681162,144.9529508
UrbanDesignDoubleHotplate-AlexandraPark,-37.8245221,144.9778661
UrbanDesignDoubleHotplate,-37.82773338,144.9826847
Barbecue-FawknerParkToddlerPlaySpace,-37.83921823,144.980724
UrbanDesignDoubleHotplate,-37.82785043,144.983405
BarbequeDocklands-notcategorised,-37.81964344,144.9460734
DocklandsAllChromed-DocklandsCommunityGardens,-37.82054853,144.945322